order_id,predict_roomid,probability
ORDER_13098828,ROOM_19268723,0.582328
ORDER_13028392,ROOM_21725837,0.432666
ORDER_13149515,ROOM_20737003,0.24964
ORDER_13028754,ROOM_31291963,0.256789
ORDER_13029084,ROOM_3131333,0.432666
ORDER_13029194,ROOM_28797811,0.400155
ORDER_13149078,ROOM_26629887,0.284529
ORDER_13029236,ROOM_184723411,0.471043
ORDER_13148918,ROOM_169051315,0.329986
ORDER_13148835,ROOM_30457463,0.258865
ORDER_13148818,ROOM_7653673,0.220494
ORDER_13029458,ROOM_15233693,0.54062
ORDER_13029604,ROOM_15267233,0.166412
ORDER_13029711,ROOM_24800733,0.165152
ORDER_13148504,ROOM_30974225,0.324408
ORDER_13029711,ROOM_24800167,0.342901
ORDER_13148411,ROOM_48322911,0.465493
ORDER_13029711,ROOM_24800715,0.165152
ORDER_13029725,ROOM_740765,0.119316
ORDER_13148360,ROOM_13744283,0.263164
ORDER_13029725,ROOM_740837,0.379209
ORDER_13148245,ROOM_20585083,0.469284
ORDER_13029990,ROOM_29750883,0.36022
ORDER_13148028,ROOM_8411645,0.385312
ORDER_13147746,ROOM_23776075,0.23375
ORDER_13030373,ROOM_21042833,0.317815
ORDER_13030557,ROOM_1558083,0.464911
ORDER_13147535,ROOM_19216683,0.159457
ORDER_13030798,ROOM_6058713,0.443404
ORDER_13030830,ROOM_21095077,0.565157
ORDER_13031031,ROOM_24142913,0.473689
ORDER_13147142,ROOM_4777293,0.367649
ORDER_13147140,ROOM_10596475,0.119316
